Timestamp,X,Y,Z,Left_X,Left_Y,Left_Z,Left_ROLL,Left_YAW,Left_PITCH,Right_X,Right_Y,Right_Z,Right_ROLL,Right_YAW,Right_PITCH
1.07,0.0290294697409911,-0.0993824848690009,0.55,0.137806090283435,0.1262158855,0.0993480049979175,0,0,13.3016585228915,-0.0005451135,-0.144664858,0,0,0,0
1.08,0.0303616020909334,-0.0985442966266876,0.55,0.14443346518675,0.1262158855,0.0985360099958351,0,0,11.3113211757007,-0.0005451135,-0.144664858,0,0,0,0
1.09,0.0317497903449108,-0.0976179413901022,0.55,0.150995751139031,0.1262158855,0.0974048146605581,0,0,9.25646779425868,-0.0005451135,-0.144664858,0,0,0,0
1.1,0.0331964733776653,-0.0966020096940894,0.55,0.157471751615024,0.1262158855,0.0959600166597251,0,0,7.20339938336487,-0.0005451135,-0.144664858,0,0,0,0
1.11,0.0347041959916249,-0.0954949221959829,0.55,0.1638406984824,0.1262158855,0.0942088129945856,0,0,5.22940590230264,-0.0005451135,-0.144664858,0,0,0,0
1.12,0.036276371908319,-0.0942957491073182,0.55,0.1700823591,0.1262158855,0.09216,0,0,3.423353909465,-0.0005451135,-0.144664858,0,0,0,0
1.13,0.0379195437768948,-0.0930066510664013,0.55,0.176177143416059,0.1262158855,0.0898239733444398,0,0,1.88627420697982,-0.0005451135,-0.144664858,0,0,0,0
1.14,0.0396407764445095,-0.0916300465148237,0.55,0.182106211066443,0.1262158855,0.0872127280299875,0,0,0.731949485333665,-0.0005451135,-0.144664858,0,0,0,0
1.15,0.0414458683532306,-0.0901666649375487,0.55,0.18785157847288,0.1262158855,0.0843398583923365,0,0,0.0875019679971976,-0.0005451135,-0.144664858,0,0,0,0
1.16,0.0433392172632496,-0.0886153919339431,0.55,0.193396225941197,0.1262158855,0.0812205581007913,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.17,0.0453242928173869,-0.0869737711424684,0.55,0.198724204759547,0.1262158855,0.0778716201582674,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.18,0.0474041622959493,-0.0852385630480455,0.55,0.203820744296644,0.1262158855,0.0743114369012911,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.19,0.0495818644163377,-0.08340613824483,0.55,0.2086723591,0.1262158855,0.07056,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.2,0.0518606113702925,-0.0814726835224907,0.55,0.213266955994151,0.1262158855,0.0666389004581424,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
